SourceNode	SourceLayer	TargetNode	TargetLayer
CEP350	Proteins	CENPF	Proteins
CEP350	Proteins	CDK5RAP2	Proteins
CEP350	Proteins	PCNT	Proteins
CEP350	Proteins	NINL	Proteins
CEP350	Proteins	NIN	Proteins
CEP43	Proteins	CEP350	Proteins
CEP43	Proteins	CEP250	Proteins
CEP43	Proteins	CEP135	Proteins
CEP43	Proteins	CEP112	Proteins
CEP43	Proteins	CENPF	Proteins
CEP43	Proteins	CDK5RAP2	Proteins
CEP43	Proteins	PCNT	Proteins
CEP43	Proteins	NINL	Proteins
CEP43	Proteins	NIN	Proteins
CEP68	Proteins	CEP43	Proteins
CEP68	Proteins	CEP350	Proteins
CEP68	Proteins	CEP250	Proteins
CEP68	Proteins	CEP135	Proteins
CEP68	Proteins	CEP112	Proteins
CEP68	Proteins	CENPF	Proteins
CEP68	Proteins	CDK5RAP2	Proteins
CEP68	Proteins	PCNT	Proteins
CEP68	Proteins	NINL	Proteins
CEP68	Proteins	NIN	Proteins
CHPF	Proteins	CHPF2	Proteins
CNTRL	Proteins	CEP68	Proteins
CNTRL	Proteins	CEP43	Proteins
CNTRL	Proteins	CEP350	Proteins
CNTRL	Proteins	CEP250	Proteins
CNTRL	Proteins	CEP135	Proteins
CNTRL	Proteins	CEP112	Proteins
CNTRL	Proteins	CENPF	Proteins
CNTRL	Proteins	CDK5RAP2	Proteins
CNTRL	Proteins	PCNT	Proteins
CNTRL	Proteins	NINL	Proteins
CNTRL	Proteins	NIN	Proteins
COQ8B	Proteins	PMPCA	Proteins
CSNK2A2	Proteins	G3BP2	Proteins
CSNK2A2	Proteins	G3BP1	Proteins
CSNK2B	Proteins	CSNK2A2	Proteins
CSNK2B	Proteins	G3BP2	Proteins
CSNK2B	Proteins	G3BP1	Proteins
CYB5B	Proteins	CYB5R3	Proteins
CYB5B	Proteins	NDUFAF2	Proteins
CYB5R3	Proteins	NDUFAF2	Proteins
DDX21	Proteins	UPF1	Proteins
DDX21	Proteins	RBM28	Proteins
DDX21	Proteins	MOV10	Proteins
DDX21	Proteins	PABPC1	Proteins
ECSIT	Proteins	ACAD9	Proteins
EDEM3	Proteins	ERLEC1	Proteins
EDEM3	Proteins	OS9	Proteins
EDEM3	Proteins	UGGT2	Proteins
EDEM3	Proteins	ERO1B	Proteins
EDEM3	Proteins	SIL1	Proteins
EDEM3	Proteins	HYOU1	Proteins
EDEM3	Proteins	NGLY1	Proteins
EDEM3	Proteins	TOR1A	Proteins
EDEM3	Proteins	FOXRED2	Proteins
EDEM3	Proteins	SDF2	Proteins
ELOB	Proteins	RBX1	Proteins
ELOB	Proteins	CUL2	Proteins
ELOC	Proteins	ELOB	Proteins
ELOC	Proteins	RBX1	Proteins
ELOC	Proteins	CUL2	Proteins
ERLEC1	Proteins	OS9	Proteins
ERLEC1	Proteins	UGGT2	Proteins
ERLEC1	Proteins	ERO1B	Proteins
ERLEC1	Proteins	SIL1	Proteins
ERLEC1	Proteins	HYOU1	Proteins
ERLEC1	Proteins	NGLY1	Proteins
ERLEC1	Proteins	TOR1A	Proteins
