SourceNode	SourceLayer	TargetNode	TargetLayer
NPM1	Effectors	TUBA1C	Effectors
NPM1	Effectors	TRAF6	Effectors
RAC1	Effectors	TUBA4A	Effectors
RAC1	Effectors	PLCB2	Effectors
RAC1	Effectors	AKAP13	Effectors
RAC1	Effectors	TRAF6	Effectors
ITCH	Effectors	TRAF6	Effectors
HSP90AB1	Effectors	CDH1	Effectors
HSP90AB1	Effectors	TUBG1	Effectors
HSP90AB1	Effectors	GRK2	GRKs
HSP90AB1	Effectors	MYH9	Effectors
HSP90AB1	Effectors	GRK6	GRKs
HSP90AB1	Effectors	PTEN	Effectors
HSP90AB1	Effectors	TUBB3	Effectors
HSP90AB1	Effectors	TUBA1A	Effectors
HSP90AB1	Effectors	TUBGCP3	Effectors
HSP90AB1	Effectors	MAP3K5	Effectors
HSP90AB1	Effectors	TUBA1C	Effectors
HSP90AB1	Effectors	TUBGCP2	Effectors
MAP3K5	Effectors	TRAF6	Effectors
TUBB4A	Effectors	JUN	Effectors
TUBB4A	Effectors	TUBB	Effectors
TUBB4A	Effectors	TUBA4A	Effectors
TUBB4A	Effectors	TUBA1C	Effectors
TUBB4A	Effectors	TUBGCP2	Effectors
TUBB4A	Effectors	TRAF6	Effectors
TUBB2B	Effectors	TUBB1	Effectors
TUBB2B	Effectors	TRAF6	Effectors
TUBG1	Effectors	TUBA1B	Effectors
TUBG1	Effectors	TUBA4A	Effectors
TUBG1	Effectors	TUBB4B	Effectors
TUBG1	Effectors	YWHAH	Effectors
TUBG1	Effectors	TUBB3	Effectors
TUBG1	Effectors	TUBB2A	Effectors
TUBG1	Effectors	TUBA1A	Effectors
TUBG1	Effectors	TUBGCP3	Effectors
TUBG1	Effectors	TUBGCP6	Effectors
TUBG1	Effectors	TUBGCP5	Effectors
TUBG1	Effectors	TUBA1C	Effectors
TUBG1	Effectors	TUBGCP2	Effectors
TUBG1	Effectors	TUBB1	Effectors
TUBG1	Effectors	TUBG2	Effectors
TUBB2A	Effectors	TUBA1A	Effectors
TUBB2A	Effectors	TUBA1C	Effectors
TUBB2A	Effectors	TUBGCP2	Effectors
