SourceNode	SourceLayer	TargetNode	TargetLayer
CG10576	Layer2	RpS16	Layer2
CG10576	Layer2	Tcp-1zeta	Layer2
CG10576	Layer2	wuho	Layer2
CG10576	Layer2	RpL12	Layer2
CG10576	Layer2	CG7033	Layer2
Abl	Layer2	Dscam1	Layer2
Abl	Layer2	syd	Layer2
Abl	Layer2	alpha-Cat	Layer2
Abl	Layer2	arm	Layer2
Rae1	Layer2	mago	Layer2
Mtor	Layer2	mago	Layer2
Mtor	Layer2	AGO1	Layer2
Mtor	Layer2	Hsc70-3	Layer2
Mtor	Layer2	Hsc70-5	Layer2
Mtor	Layer2	smt3	Layer2
Mtor	Layer2	Rae1	Layer2
Ref1	Layer2	LS2	Layer2
Ref1	Layer2	mago	Layer2
Trap1	Layer2	Hsp70Ab	Layer2
Trap1	Layer2	Hop	Layer2
Trap1	Layer2	Hsp60C	Layer2
Trap1	Layer2	Hsp60	Layer2
Trap1	Layer2	CG2918	Layer2
Trap1	Layer2	Hsc70-3	Layer2
Trap1	Layer2	CG1416	Layer2
CG17597	Layer2	Cat	Layer2
CG17597	Layer2	ScpX	Layer2
CG17597	Layer2	Mfe2	Layer2
lqf	Layer2	CG32683	Layer2
lqf	Layer2	Ubqn	Layer2
lqf	Layer2	Arr2	Layer2
lqf	Layer2	Rab5	Layer2
lqf	Layer2	Hrs	Layer2
Tim17b	Layer2	Tim9a	Layer2
CG3902	Layer2	CG10932	Layer2
Cat	Layer2	CG6891	Layer2
p115	Layer2	deltaCOP	Layer2
Sec24AB	Layer2	deltaCOP	Layer2
Sec24AB	Layer2	betaCOP	Layer2
Sec24AB	Layer2	epsilonCOP	Layer2
Sec24AB	Layer2	zetaCOP	Layer2
Sec24AB	Layer2	alphaCOP	Layer2
Sec24AB	Layer2	beta'COP	Layer2
Sec24AB	Layer2	p115	Layer2
ninaC	Layer2	Act79B	Layer2
ninaC	Layer2	zip	Layer2
ninaC	Layer2	Arr2	Layer2
mago	Layer2	sta	Layer2
mago	Layer2	RpS6	Layer2
mago	Layer2	CG10777	Layer2
CG11876	Layer2	Men	Layer2
CG11876	Layer2	Mdh2	Layer2
CG11876	Layer2	PyK	Layer2
CG11876	Layer2	ND-PDSW	Layer2
CG11876	Layer2	AcCoAS	Layer2
CG11876	Layer2	Eno	Layer2
CG11876	Layer2	CG33791	Layer2
Pdk	Layer2	ade3	Layer2
Pdk	Layer2	CG11876	Layer2
B52	Layer2	RpS3	Layer2
B52	Layer2	Hrb27C	Layer2
B52	Layer2	glo	Layer2
B52	Layer2	CG10777	Layer2
B52	Layer2	fne	Layer2
B52	Layer2	CG10077	Layer2
B52	Layer2	yps	Layer2
B52	Layer2	Rbp9	Layer2
B52	Layer2	CG16941	Layer2
B52	Layer2	Tango4	Layer2
B52	Layer2	U2A	Layer2
B52	Layer2	mago	Layer2
B52	Layer2	Srp54	Layer2
B52	Layer2	mub	Layer2
B52	Layer2	heph	Layer2
B52	Layer2	Prp8	Layer2
B52	Layer2	LS2	Layer2
B52	Layer2	Hrb98DE	Layer2
B52	Layer2	U2af50	Layer2
B52	Layer2	SF2	Layer2
Vha100-1	Layer2	sun	Layer2
Vha100-1	Layer2	Vha100-2	Layer2
Vha100-1	Layer2	Vha68-2	Layer2
robl	Layer2	Dlic	Layer2
Hsc70-5	Layer2	CG7033	Layer2
Hsc70-5	Layer2	T-cp1	Layer2
Hsc70-5	Layer2	Tpi	Layer2
Hsc70-5	Layer2	DnaJ-H	Layer2
Hsc70-5	Layer2	Tcp-1eta	Layer2
Hsc70-5	Layer2	Hop	Layer2
Hsc70-5	Layer2	Rae1	Layer2
Hsc70-5	Layer2	Trap1	Layer2
Hsc70-5	Layer2	Hsp60C	Layer2
Hsc70-5	Layer2	Hsc70-3	Layer2
Hsc70-5	Layer2	Hsp60	Layer2
Hsc70-5	Layer2	Gp93	Layer2
tsr	Layer2	sqh	Layer2
tsr	Layer2	cpa	Layer2
tsr	Layer2	RpS6	Layer2
flr	Layer2	cpa	Layer2
flr	Layer2	tsr	Layer2
AcCoAS	Layer2	CG12262	Layer2
AcCoAS	Layer2	CG10932	Layer2
ACC	Layer2	Eno	Layer2
ACC	Layer2	CG10932	Layer2
ACC	Layer2	AcCoAS	Layer2
LS2	Layer2	mago	Layer2
LS2	Layer2	CG10777	Layer2
FKBP59	Layer2	ninaC	Layer2
FKBP59	Layer2	Dlic	Layer2
FKBP59	Layer2	cpb	Layer2
FKBP59	Layer2	cpa	Layer2
FKBP59	Layer2	Hop	Layer2
U2af50	Layer2	Ref1	Layer2
U2af50	Layer2	LS2	Layer2
U2af50	Layer2	yps	Layer2
U2af50	Layer2	CG10777	Layer2
U2af50	Layer2	CG10077	Layer2
U2af50	Layer2	Rbp9	Layer2
U2af50	Layer2	fne	Layer2
U2af50	Layer2	Srp54	Layer2
U2af50	Layer2	mago	Layer2
U2af50	Layer2	mub	Layer2
U2af50	Layer2	Tango4	Layer2
U2af50	Layer2	heph	Layer2
U2af50	Layer2	CG16941	Layer2
U2af50	Layer2	Hrb98DE	Layer2
U2af50	Layer2	Prp8	Layer2
U2af50	Layer2	SF2	Layer2
U2af50	Layer2	U2A	Layer2
Fmr1	Layer2	dock	Layer2
Fmr1	Layer2	PyK	Layer2
Fmr1	Layer2	poe	Layer2
Fmr1	Layer2	bel	Layer2
Fmr1	Layer2	pAbp	Layer2
Fmr1	Layer2	eIF4G	Layer2
Fmr1	Layer2	Dscam1	Layer2
Fmr1	Layer2	RanBPM	Layer2
Fmr1	Layer2	Hrb98DE	Layer2
Fmr1	Layer2	Hrb27C	Layer2
Fmr1	Layer2	Capr	Layer2
Fmr1	Layer2	TER94	Layer2
Fmr1	Layer2	Rbp9	Layer2
Fmr1	Layer2	me31B	Layer2
Fmr1	Layer2	AGO1	Layer2
Fmr1	Layer2	vig	Layer2
ScpX	Layer2	Cat	Layer2
ScpX	Layer2	Mfe2	Layer2
Top2	Layer2	RpS13	Layer2
Top2	Layer2	Pkc53E	Layer2
Top2	Layer2	Uba2	Layer2
Top2	Layer2	Iswi	Layer2
Top2	Layer2	smt3	Layer2
CG8209	Layer2	Ufd1-like	Layer2
heph	Layer2	Tango4	Layer2
heph	Layer2	Srp54	Layer2
heph	Layer2	CG16941	Layer2
heph	Layer2	CG10077	Layer2
heph	Layer2	CG10777	Layer2
heph	Layer2	U2A	Layer2
heph	Layer2	mago	Layer2
heph	Layer2	yps	Layer2
