SourceNode	SourceLayer	TargetNode	TargetLayer
Group-6	Layer1	CG16935	Layer2
Group-6	Layer1	AGBE	Layer2
Group-6	Layer1	ImpL3	Layer2
Group-6	Layer1	Nc73EF	Layer2
Group-6	Layer1	CG3902	Layer2
Group-6	Layer1	CG11876	Layer2
Group-6	Layer1	Pdk	Layer2
Group-6	Layer1	Vha100-1	Layer2
Group-6	Layer1	AcCoAS	Layer2
Group-6	Layer1	ACC	Layer2
Group-6	Layer1	Mdh2	Layer2
Group-6	Layer1	Cyt-c-p	Layer2
Group-6	Layer1	Aldh	Layer2
Group-6	Layer1	CG15093	Layer2
Group-6	Layer1	ND-51L1	Layer2
Group-6	Layer1	ND-51	Layer2
Group-6	Layer1	Vha68-2	Layer2
Group-6	Layer1	Vha100-2	Layer2
Group-6	Layer1	ND-15	Layer2
Group-6	Layer1	CG12262	Layer2
Group-6	Layer1	yip2	Layer2
Group-6	Layer1	ade5	Layer2
Group-6	Layer1	CG11089	Layer2
Group-6	Layer1	COX6B	Layer2
Group-6	Layer1	CG11752	Layer2
Group-6	Layer1	COX4	Layer2
Group-6	Layer1	COX5A	Layer2
Group-6	Layer1	Eno	Layer2
Group-6	Layer1	Tpi	Layer2
Group-6	Layer1	ND-PDSW	Layer2
Group-6	Layer1	NP15.6	Layer2
Group-6	Layer1	ATPsynbeta	Layer2
Group-6	Layer1	ATPsynCF6	Layer2
Group-6	Layer1	CG10932	Layer2
Group-6	Layer1	CG33791	Layer2
Group-6	Layer1	CG3011	Layer2
Group-6	Layer1	Men	Layer2
Group-6	Layer1	sun	Layer2
Group-6	Layer1	porin	Layer2
Group-6	Layer1	ND-B16.6	Layer2
Group-6	Layer1	CG7603	Layer2
Group-6	Layer1	Mpcp	Layer2
Group-7	Layer1	Ndg	Layer2
Group-7	Layer1	trol	Layer2
Group-7	Layer1	Cg25C	Layer2
Group-7	Layer1	vkg	Layer2
Group-7	Layer1	LanA	Layer2
Group-7	Layer1	LanB2	Layer2
Group-7	Layer1	Glt	Layer2
Group-8	Layer1	Lar	Layer2
Group-8	Layer1	CG31715	Layer2
Group-8	Layer1	PlexA	Layer2
Group-8	Layer1	gammaSnap2	Layer2
Group-8	Layer1	CG10186	Layer2
Group-8	Layer1	Klp10A	Layer2
